INSERT INTO `lucky_cooperation`.`t_alg_new_demand_plan` (`wh_dept_id`, `goods_id`, `predict_date`, `pred_shop_consume`, `pred_shop_order`, `pred_wh_consume`, `pred_wh_cg`, `update_time`) VALUES 
(245871, 83625, '2023-05-15', 26751, 200, 10980, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-15', 26589, 200, 15597, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-15', 24990, 200, 25977, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-15', 20652, 200, 15078, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-16', 21049, 200, 18810, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-16', 24236, 200, 27571, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-16', 25911, 200, 21024, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-16', 15813, 200, 29643, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-16', 14232, 200, 15623, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-16', 20371, 200, 12777, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-17', 21373, 200, 27794, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-17', 14623, 200, 20096, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-17', 22835, 200, 29518, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-17', 21985, 200, 11913, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-17', 26146, 200, 17444, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-17', 14052, 200, 21004, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-18', 15068, 200, 11906, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-18', 27461, 200, 15494, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-18', 24046, 200, 16057, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-18', 14051, 200, 24533, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-18', 19137, 200, 16140, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-18', 27775, 200, 21981, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-19', 25519, 200, 28032, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-19', 26208, 200, 14393, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-19', 20133, 200, 20932, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-19', 17079, 200, 24734, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-19', 28697, 200, 20282, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-19', 28496, 200, 27629, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-20', 13266, 200, 12382, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-20', 27827, 200, 20587, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-20', 13981, 200, 23622, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-20', 28113, 200, 20402, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-20', 16551, 200, 29323, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-20', 26928, 200, 10521, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-21', 21546, 200, 19528, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-21', 12101, 200, 17912, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-21', 28347, 200, 24555, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-21', 20667, 200, 11644, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-21', 16172, 200, 16834, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-21', 18764, 200, 26965, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-22', 10187, 200, 28260, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-22', 26354, 200, 26946, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-22', 16824, 200, 17039, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-22', 15054, 200, 24945, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-22', 11119, 200, 25447, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-22', 16750, 200, 12430, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-23', 19439, 200, 23201, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-23', 23811, 200, 14424, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-23', 27325, 200, 10701, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-23', 25275, 200, 24432, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-23', 24146, 200, 17522, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-23', 27720, 200, 13794, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-24', 14941, 200, 20673, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-24', 24872, 200, 28356, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-24', 26883, 200, 27373, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-24', 14293, 200, 21105, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-24', 29566, 200, 28813, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-24', 11559, 200, 15117, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-25', 15649, 200, 25670, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-25', 14160, 200, 29063, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-25', 14184, 200, 14768, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-25', 23024, 200, 17911, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-25', 15396, 200, 29102, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-25', 17832, 200, 17937, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-26', 15211, 200, 24100, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-26', 28968, 200, 12214, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-26', 17014, 200, 28950, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-26', 18701, 200, 22239, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-26', 12001, 200, 15662, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-26', 29040, 200, 11641, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-27', 22770, 200, 21663, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-27', 17780, 200, 16752, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-27', 27924, 200, 28404, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-27', 16512, 200, 21497, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-27', 16610, 200, 13316, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-27', 11371, 200, 28821, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-28', 15490, 200, 24110, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-28', 11617, 200, 13262, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-28', 28289, 200, 13213, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-28', 11389, 200, 19921, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-28', 16791, 200, 26043, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-28', 19717, 200, 26866, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-29', 12629, 200, 10101, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-29', 12432, 200, 20198, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-29', 24261, 200, 21728, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-29', 21803, 200, 28333, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-29', 24599, 200, 27377, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-29', 24348, 200, 19374, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-30', 19959, 200, 12619, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-30', 13398, 200, 26549, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-30', 15800, 200, 12399, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-30', 14901, 200, 18423, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-30', 12546, 200, 26107, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-30', 10568, 200, 11247, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-05-31', 27104, 200, 25543, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-05-31', 10762, 200, 10036, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-05-31', 21309, 200, 29127, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-05-31', 11331, 200, 27642, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-05-31', 11260, 200, 15464, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-05-31', 26580, 200, 16034, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-01', 20206, 200, 28090, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-01', 24533, 200, 18186, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-01', 17853, 200, 22507, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-01', 10052, 200, 12427, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-01', 21089, 200, 15178, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-01', 14388, 200, 14531, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-02', 28760, 200, 28734, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-02', 27983, 200, 17646, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-02', 27683, 200, 10372, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-02', 28006, 200, 20339, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-02', 12537, 200, 12335, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-02', 11678, 200, 17044, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-03', 18031, 200, 21348, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-03', 24178, 200, 23316, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-03', 15110, 200, 25016, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-03', 16130, 200, 29759, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-03', 18836, 200, 20537, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-03', 15733, 200, 12724, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-04', 15066, 200, 22697, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-04', 15466, 200, 23556, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-04', 11841, 200, 25185, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-04', 17575, 200, 26487, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-04', 18233, 200, 29518, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-04', 28238, 200, 14451, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-05', 15873, 200, 25376, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-05', 23303, 200, 11405, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-05', 13826, 200, 20226, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-05', 19703, 200, 20905, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-05', 15257, 200, 17518, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-05', 28672, 200, 13438, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-06', 10018, 200, 11922, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-06', 14771, 200, 14726, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-06', 13762, 200, 23932, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-06', 28863, 200, 26805, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-06', 17249, 200, 27864, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-06', 21653, 200, 17241, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-07', 29274, 200, 26804, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-07', 17282, 200, 23469, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-07', 15402, 200, 29239, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-07', 11582, 200, 20799, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-07', 14922, 200, 26226, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-07', 21523, 200, 14898, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-08', 28045, 200, 12831, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-08', 16438, 200, 21042, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-08', 25761, 200, 15524, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-08', 29693, 200, 21389, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-08', 22147, 200, 25855, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-08', 19160, 200, 15730, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-09', 24642, 200, 17198, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-09', 11675, 200, 11375, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-09', 12317, 200, 28225, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-09', 27478, 200, 25301, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-09', 16352, 200, 23891, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-09', 26903, 200, 18832, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-10', 19404, 200, 13234, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-10', 21370, 200, 24465, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-10', 27380, 200, 28998, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-10', 29639, 200, 18721, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-10', 19148, 200, 21275, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-10', 25233, 200, 21608, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-11', 29981, 200, 11099, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-11', 21221, 200, 22788, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-11', 13470, 200, 24995, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-11', 18043, 200, 24909, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-11', 14610, 200, 25736, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-11', 27166, 200, 13109, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-12', 27779, 200, 18581, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-12', 14304, 200, 24433, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-12', 27965, 200, 28909, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-12', 25781, 200, 16867, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-12', 20914, 200, 10354, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-12', 24180, 200, 15185, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-13', 27605, 200, 18568, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-13', 20317, 200, 17072, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-13', 11841, 200, 16665, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-13', 25008, 200, 11776, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-13', 23350, 200, 27543, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-13', 13615, 200, 15088, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-14', 21185, 200, 14021, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-14', 14895, 200, 20370, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-14', 23629, 200, 10957, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-14', 20356, 200, 14505, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-14', 15809, 200, 17234, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-14', 22659, 200, 15951, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-15', 20141, 200, 15671, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-15', 29776, 200, 22925, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-15', 10501, 200, 26887, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-15', 12272, 200, 27653, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-15', 27755, 200, 10523, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-15', 29298, 200, 17145, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-16', 14081, 200, 23662, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-16', 26208, 200, 14070, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-16', 11456, 200, 29666, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-16', 13018, 200, 27272, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-16', 13139, 200, 23214, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-16', 24690, 200, 11558, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-17', 24720, 200, 11316, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-17', 20604, 200, 16719, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-17', 20911, 200, 13613, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-17', 14220, 200, 22454, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-17', 21060, 200, 11545, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-17', 10314, 200, 24988, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-18', 20470, 200, 10223, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-18', 18173, 200, 13472, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-18', 18556, 200, 28613, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-18', 10200, 200, 22007, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-18', 13784, 200, 17784, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-18', 26937, 200, 29996, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-19', 16732, 200, 16109, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-19', 15455, 200, 20947, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-19', 24656, 200, 22772, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-19', 13124, 200, 12914, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-19', 17451, 200, 28868, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-19', 22275, 200, 26093, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-20', 22363, 200, 28283, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-20', 23868, 200, 25470, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-20', 23401, 200, 13955, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-20', 17503, 200, 13089, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-20', 10816, 200, 10289, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-20', 29584, 200, 27036, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-21', 19164, 200, 21851, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-21', 27646, 200, 11176, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-21', 12267, 200, 15884, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-21', 19243, 200, 18213, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-21', 15741, 200, 16586, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-21', 27919, 200, 27065, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-22', 13080, 200, 12516, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-22', 24822, 200, 21190, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-22', 21513, 200, 25378, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-22', 19298, 200, 16626, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-22', 18285, 200, 27542, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-22', 23857, 200, 14875, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-23', 21319, 200, 29248, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-23', 11521, 200, 24408, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-23', 22947, 200, 23911, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-23', 18533, 200, 26175, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-23', 17668, 200, 11586, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-23', 10905, 200, 19620, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-24', 20704, 200, 21946, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-24', 10943, 200, 27036, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-24', 13736, 200, 25625, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-24', 22616, 200, 21709, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-24', 19458, 200, 26236, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-24', 19188, 200, 27156, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-25', 20810, 200, 21171, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-25', 29201, 200, 22954, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-25', 25068, 200, 29527, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-25', 16352, 200, 18023, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-25', 27826, 200, 20358, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-25', 25986, 200, 17495, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-26', 24699, 200, 26407, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-26', 28188, 200, 14136, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-26', 24285, 200, 13903, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-26', 29579, 200, 29154, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-26', 22630, 200, 13826, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-26', 14799, 200, 19670, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-27', 12459, 200, 25548, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-27', 15930, 200, 18393, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-27', 26912, 200, 12841, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-27', 16546, 200, 12308, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-27', 14322, 200, 17378, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-27', 10845, 200, 13053, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-28', 25494, 200, 23483, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-28', 10463, 200, 20701, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-28', 14812, 200, 10692, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-28', 17912, 200, 24402, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-28', 22433, 200, 13992, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-28', 28462, 200, 28790, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-29', 23369, 200, 15737, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-29', 24137, 200, 20009, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-29', 10962, 200, 20647, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-29', 14185, 200, 28499, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-29', 11656, 200, 28862, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-29', 23901, 200, 28203, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-06-30', 24830, 200, 17432, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-06-30', 21808, 200, 14854, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-06-30', 20207, 200, 18390, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-06-30', 15401, 200, 22713, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-06-30', 13218, 200, 15670, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-06-30', 25504, 200, 10897, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-07-01', 13341, 200, 13168, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-07-01', 25406, 200, 11121, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-07-01', 29022, 200, 29243, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-07-01', 29959, 200, 29399, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-07-01', 11354, 200, 15378, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-07-01', 12289, 200, 15580, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-07-02', 11995, 200, 27458, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-07-02', 26239, 200, 20132, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-07-02', 18089, 200, 29088, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-07-02', 21499, 200, 27162, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-07-02', 15734, 200, 28803, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-07-02', 29690, 200, 21446, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-07-03', 16822, 200, 16986, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-07-03', 29113, 200, 17113, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-07-03', 11356, 200, 12203, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-07-03', 29933, 200, 26862, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-07-03', 22112, 200, 23165, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-07-03', 24613, 200, 29937, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-07-04', 25239, 200, 18344, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-07-04', 19297, 200, 23600, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-07-04', 26352, 200, 19446, 400, '2023-08-28 15:56:37'),
