INSERT INTO `lucky_cooperation`.`t_bi_warehouse_shop_detail` (`record_date`, `wh_dept_id`, `self_num`, `agent_num`, `total_num`, `self_operating_num`, `agent_operating_num`, `total_operating_num`, `operating_rate`, `create_time`) VALUES
('2022-01-30', -1, 191, 163, 354, 221, 145, 366, 0.9, '2023-06-01'),
('2022-01-31', 327193, 56, 21, 77, 243, 44, 287, 0.9, '2023-06-01'),
('2022-01-31', 245971, 291, 200, 491, 272, 84, 356, 0.9, '2023-06-01'),
('2022-01-31', 245871, 121, 111, 232, 221, 83, 304, 0.9, '2023-06-01'),
('2022-01-31', 326932, 50, 25, 75, 66, 39, 105, 0.9, '2023-06-01'),
('2022-01-31', 326327, 240, 64, 304, 235, 17, 252, 0.9, '2023-06-01'),
('2022-01-31', -1, 158, 99, 257, 265, 67, 332, 0.9, '2023-06-01'),
('2022-02-01', 327193, 137, 10, 147, 269, 127, 396, 0.9, '2023-06-01'),
('2022-02-01', 245971, 103, 37, 140, 53, 14, 67, 0.9, '2023-06-01'),
('2022-02-01', 245871, 116, 28, 144, 209, 51, 260, 0.9, '2023-06-01'),
('2022-02-01', 326932, 112, 19, 131, 81, 32, 113, 0.9, '2023-06-01'),
('2022-02-01', 326327, 96, 28, 124, 292, 204, 496, 0.9, '2023-06-01'),
('2022-02-01', -1, 101, 34, 135, 154, 134, 288, 0.9, '2023-06-01'),
('2022-02-02', 327193, 231, 82, 313, 85, 22, 107, 0.9, '2023-06-01'),
('2022-02-02', 245971, 219, 149, 368, 156, 76, 232, 0.9, '2023-06-01'),
('2022-02-02', 245871, 269, 92, 361, 289, 228, 517, 0.9, '2023-06-01'),
('2022-02-02', 326932, 232, 47, 279, 165, 152, 317, 0.9, '2023-06-01'),
('2022-02-02', 326327, 224, 101, 325, 250, 152, 402, 0.9, '2023-06-01'),
('2022-02-02', -1, 259, 213, 472, 194, 15, 209, 0.9, '2023-06-01'),
('2022-02-03', 327193, 192, 22, 214, 172, 110, 282, 0.9, '2023-06-01'),
('2022-02-03', 245971, 172, 57, 229, 263, 215, 478, 0.9, '2023-06-01'),
('2022-02-03', 245871, 139, 97, 236, 123, 54, 177, 0.9, '2023-06-01'),
('2022-02-03', 326932, 52, 51, 103, 135, 64, 199, 0.9, '2023-06-01'),
('2022-02-03', 326327, 300, 128, 428, 144, 88, 232, 0.9, '2023-06-01'),
('2022-02-03', -1, 146, 117, 263, 116, 18, 134, 0.9, '2023-06-01'),
('2022-02-04', 327193, 192, 187, 379, 191, 145, 336, 0.9, '2023-06-01'),
('2022-02-04', 245971, 103, 32, 135, 128, 55, 183, 0.9, '2023-06-01'),
('2022-02-04', 245871, 295, 133, 428, 143, 52, 195, 0.9, '2023-06-01'),
('2022-02-04', 326932, 110, 66, 176, 166, 136, 302, 0.9, '2023-06-01'),
('2022-02-04', 326327, 158, 148, 306, 61, 46, 107, 0.9, '2023-06-01'),
('2022-02-04', -1, 168, 137, 305, 144, 139, 283, 0.9, '2023-06-01'),
('2022-02-05', 327193, 140, 67, 207, 139, 66, 205, 0.9, '2023-06-01'),
('2022-02-05', 245971, 63, 25, 88, 197, 187, 384, 0.9, '2023-06-01'),
('2022-02-05', 245871, 218, 170, 388, 252, 38, 290, 0.9, '2023-06-01'),
('2022-02-05', 326932, 133, 87, 220, 178, 23, 201, 0.9, '2023-06-01'),
('2022-02-05', 326327, 268, 226, 494, 122, 112, 234, 0.9, '2023-06-01'),
('2022-02-05', -1, 181, 52, 233, 241, 145, 386, 0.9, '2023-06-01'),
('2022-02-06', 327193, 124, 23, 147, 271, 41, 312, 0.9, '2023-06-01'),
('2022-02-06', 245971, 272, 262, 534, 91, 17, 108, 0.9, '2023-06-01'),
('2022-02-06', 245871, 219, 180, 399, 270, 185, 455, 0.9, '2023-06-01'),
('2022-02-06', 326932, 218, 81, 299, 257, 11, 268, 0.9, '2023-06-01'),
('2022-02-06', 326327, 212, 152, 364, 256, 244, 500, 0.9, '2023-06-01'),
('2022-02-06', -1, 67, 10, 77, 182, 155, 337, 0.9, '2023-06-01'),
('2022-02-07', 327193, 177, 122, 299, 289, 174, 463, 0.9, '2023-06-01'),
('2022-02-07', 245971, 259, 259, 518, 276, 128, 404, 0.9, '2023-06-01'),
('2022-02-07', 245871, 247, 42, 289, 294, 75, 369, 0.9, '2023-06-01'),
('2022-02-07', 326932, 166, 138, 304, 201, 144, 345, 0.9, '2023-06-01'),
('2022-02-07', 326327, 275, 34, 309, 209, 88, 297, 0.9, '2023-06-01'),
('2022-02-07', -1, 73, 52, 125, 51, 43, 94, 0.9, '2023-06-01'),
('2022-02-08', 327193, 126, 112, 238, 212, 64, 276, 0.9, '2023-06-01'),
('2022-02-08', 245971, 120, 74, 194, 263, 56, 319, 0.9, '2023-06-01'),
('2022-02-08', 245871, 126, 50, 176, 288, 171, 459, 0.9, '2023-06-01'),
('2022-02-08', 326932, 269, 73, 342, 208, 200, 408, 0.9, '2023-06-01'),
('2022-02-08', 326327, 278, 23, 301, 103, 20, 123, 0.9, '2023-06-01'),
('2022-02-08', -1, 250, 42, 292, 147, 120, 267, 0.9, '2023-06-01'),
('2022-02-09', 327193, 95, 22, 117, 178, 49, 227, 0.9, '2023-06-01'),
('2022-02-09', 245971, 214, 68, 282, 207, 126, 333, 0.9, '2023-06-01'),
('2022-02-09', 245871, 213, 209, 422, 159, 28, 187, 0.9, '2023-06-01'),
('2022-02-09', 326932, 249, 102, 351, 137, 125, 262, 0.9, '2023-06-01'),
('2022-02-09', 326327, 220, 69, 289, 281, 148, 429, 0.9, '2023-06-01'),
('2022-02-09', -1, 181, 75, 256, 69, 50, 119, 0.9, '2023-06-01'),
('2022-02-10', 327193, 254, 104, 358, 287, 268, 555, 0.9, '2023-06-01'),
('2022-02-10', 245971, 178, 70, 248, 108, 95, 203, 0.9, '2023-06-01'),
('2022-02-10', 245871, 252, 120, 372, 188, 107, 295, 0.9, '2023-06-01'),
('2022-02-10', 326932, 256, 75, 331, 170, 15, 185, 0.9, '2023-06-01'),
('2022-02-10', 326327, 238, 179, 417, 261, 227, 488, 0.9, '2023-06-01'),
('2022-02-10', -1, 297, 18, 315, 289, 58, 347, 0.9, '2023-06-01'),
('2022-02-11', 327193, 154, 153, 307, 168, 77, 245, 0.9, '2023-06-01'),
('2022-02-11', 245971, 123, 59, 182, 190, 52, 242, 0.9, '2023-06-01'),
('2022-02-11', 245871, 58, 44, 102, 133, 62, 195, 0.9, '2023-06-01'),
('2022-02-11', 326932, 265, 71, 336, 124, 25, 149, 0.9, '2023-06-01'),
('2022-02-11', 326327, 204, 35, 239, 122, 110, 232, 0.9, '2023-06-01'),
('2022-02-11', -1, 254, 147, 401, 166, 147, 313, 0.9, '2023-06-01'),
('2022-02-12', 327193, 284, 89, 373, 250, 179, 429, 0.9, '2023-06-01'),
('2022-02-12', 245971, 185, 52, 237, 75, 51, 126, 0.9, '2023-06-01'),
('2022-02-12', 245871, 94, 65, 159, 186, 18, 204, 0.9, '2023-06-01'),
('2022-02-12', 326932, 294, 80, 374, 135, 18, 153, 0.9, '2023-06-01'),
('2022-02-12', 326327, 157, 109, 266, 246, 147, 393, 0.9, '2023-06-01'),
('2022-02-12', -1, 273, 169, 442, 87, 11, 98, 0.9, '2023-06-01'),
('2022-02-13', 327193, 282, 75, 357, 258, 169, 427, 0.9, '2023-06-01'),
('2022-02-13', 245971, 51, 51, 102, 103, 61, 164, 0.9, '2023-06-01'),
('2022-02-13', 245871, 274, 129, 403, 74, 32, 106, 0.9, '2023-06-01'),
('2022-02-13', 326932, 195, 138, 333, 113, 105, 218, 0.9, '2023-06-01'),
('2022-02-13', 326327, 196, 16, 212, 51, 51, 102, 0.9, '2023-06-01'),
('2022-02-13', -1, 99, 42, 141, 297, 250, 547, 0.9, '2023-06-01'),
('2022-02-14', 327193, 241, 194, 435, 273, 272, 545, 0.9, '2023-06-01'),
('2022-02-14', 245971, 117, 91, 208, 164, 63, 227, 0.9, '2023-06-01'),
('2022-02-14', 245871, 151, 70, 221, 64, 41, 105, 0.9, '2023-06-01'),
('2022-02-14', 326932, 61, 53, 114, 194, 89, 283, 0.9, '2023-06-01'),
('2022-02-14', 326327, 277, 114, 391, 96, 85, 181, 0.9, '2023-06-01'),
('2022-02-14', -1, 281, 125, 406, 232, 154, 386, 0.9, '2023-06-01'),
('2022-02-15', 327193, 281, 135, 416, 94, 92, 186, 0.9, '2023-06-01'),
('2022-02-15', 245971, 175, 153, 328, 249, 74, 323, 0.9, '2023-06-01'),
('2022-02-15', 245871, 278, 94, 372, 227, 128, 355, 0.9, '2023-06-01'),
('2022-02-15', 326932, 222, 195, 417, 293, 266, 559, 0.9, '2023-06-01'),
('2022-02-15', 326327, 272, 232, 504, 223, 122, 345, 0.9, '2023-06-01'),
('2022-02-15', -1, 145, 25, 170, 203, 116, 319, 0.9, '2023-06-01'),
('2022-02-16', 327193, 158, 147, 305, 247, 152, 399, 0.9, '2023-06-01'),
('2022-02-16', 245971, 173, 60, 233, 151, 126, 277, 0.9, '2023-06-01'),
('2022-02-16', 245871, 68, 44, 112, 120, 30, 150, 0.9, '2023-06-01'),
('2022-02-16', 326932, 106, 72, 178, 96, 47, 143, 0.9, '2023-06-01'),
('2022-02-16', 326327, 222, 47, 269, 278, 138, 416, 0.9, '2023-06-01'),
('2022-02-16', -1, 221, 82, 303, 276, 266, 542, 0.9, '2023-06-01'),
('2022-02-17', 327193, 140, 49, 189, 269, 132, 401, 0.9, '2023-06-01'),
('2022-02-17', 245971, 78, 61, 139, 211, 17, 228, 0.9, '2023-06-01'),
('2022-02-17', 245871, 285, 158, 443, 269, 91, 360, 0.9, '2023-06-01'),
('2022-02-17', 326932, 261, 225, 486, 112, 61, 173, 0.9, '2023-06-01'),
('2022-02-17', 326327, 251, 141, 392, 225, 36, 261, 0.9, '2023-06-01'),
('2022-02-17', -1, 289, 215, 504, 130, 12, 142, 0.9, '2023-06-01'),
('2022-02-18', 327193, 274, 160, 434, 82, 11, 93, 0.9, '2023-06-01'),
('2022-02-18', 245971, 110, 11, 121, 202, 74, 276, 0.9, '2023-06-01'),
('2022-02-18', 245871, 82, 71, 153, 54, 44, 98, 0.9, '2023-06-01'),
('2022-02-18', 326932, 190, 155, 345, 60, 58, 118, 0.9, '2023-06-01'),
('2022-02-18', 326327, 295, 105, 400, 212, 156, 368, 0.9, '2023-06-01'),
('2022-02-18', -1, 91, 47, 138, 279, 169, 448, 0.9, '2023-06-01'),
('2022-02-19', 327193, 115, 105, 220, 61, 27, 88, 0.9, '2023-06-01'),
('2022-02-19', 245971, 226, 161, 387, 68, 24, 92, 0.9, '2023-06-01'),
('2022-02-19', 245871, 85, 83, 168, 256, 223, 479, 0.9, '2023-06-01'),
('2022-02-19', 326932, 244, 18, 262, 67, 21, 88, 0.9, '2023-06-01'),
('2022-02-19', 326327, 170, 38, 208, 223, 193, 416, 0.9, '2023-06-01'),
('2022-02-19', -1, 255, 216, 471, 274, 123, 397, 0.9, '2023-06-01'),
('2022-02-20', 327193, 269, 58, 327, 234, 223, 457, 0.9, '2023-06-01'),
('2022-02-20', 245971, 195, 101, 296, 53, 24, 77, 0.9, '2023-06-01'),
('2022-02-20', 245871, 166, 21, 187, 56, 28, 84, 0.9, '2023-06-01'),
('2022-02-20', 326932, 170, 72, 242, 124, 79, 203, 0.9, '2023-06-01'),
('2022-02-20', 326327, 191, 14, 205, 186, 180, 366, 0.9, '2023-06-01'),
('2022-02-20', -1, 147, 88, 235, 186, 157, 343, 0.9, '2023-06-01'),
('2022-02-21', 327193, 102, 70, 172, 194, 101, 295, 0.9, '2023-06-01'),
('2022-02-21', 245971, 230, 218, 448, 229, 107, 336, 0.9, '2023-06-01'),
('2022-02-21', 245871, 173, 93, 266, 55, 42, 97, 0.9, '2023-06-01'),
('2022-02-21', 326932, 104, 43, 147, 140, 54, 194, 0.9, '2023-06-01'),
('2022-02-21', 326327, 254, 144, 398, 68, 23, 91, 0.9, '2023-06-01'),
('2022-02-21', -1, 123, 82, 205, 115, 84, 199, 0.9, '2023-06-01'),
('2022-02-22', 327193, 174, 168, 342, 288, 130, 418, 0.9, '2023-06-01'),
('2022-02-22', 245971, 51, 38, 89, 255, 140, 395, 0.9, '2023-06-01'),
('2022-02-22', 245871, 249, 32, 281, 190, 93, 283, 0.9, '2023-06-01'),
('2022-02-22', 326932, 120, 71, 191, 232, 21, 253, 0.9, '2023-06-01'),
('2022-02-22', 326327, 187, 155, 342, 257, 166, 423, 0.9, '2023-06-01'),
('2022-02-22', -1, 280, 228, 508, 147, 41, 188, 0.9, '2023-06-01'),
('2022-02-23', 327193, 179, 159, 338, 294, 179, 473, 0.9, '2023-06-01'),
('2022-02-23', 245971, 94, 31, 125, 109, 100, 209, 0.9, '2023-06-01'),
('2022-02-23', 245871, 146, 110, 256, 208, 86, 294, 0.9, '2023-06-01'),
('2022-02-23', 326932, 286, 257, 543, 131, 12, 143, 0.9, '2023-06-01'),
('2022-02-23', 326327, 118, 53, 171, 138, 128, 266, 0.9, '2023-06-01'),
('2022-02-23', -1, 279, 68, 347, 293, 250, 543, 0.9, '2023-06-01'),
('2022-02-24', 327193, 168, 46, 214, 214, 19, 233, 0.9, '2023-06-01'),
('2022-02-24', 245971, 216, 103, 319, 117, 102, 219, 0.9, '2023-06-01'),
('2022-02-24', 245871, 208, 128, 336, 273, 194, 467, 0.9, '2023-06-01'),
('2022-02-24', 326932, 132, 87, 219, 134, 78, 212, 0.9, '2023-06-01'),
('2022-02-24', 326327, 95, 52, 147, 274, 164, 438, 0.9, '2023-06-01'),
('2022-02-24', -1, 253, 181, 434, 245, 118, 363, 0.9, '2023-06-01'),
('2022-02-25', 327193, 117, 51, 168, 181, 159, 340, 0.9, '2023-06-01'),
('2022-02-25', 245971, 244, 68, 312, 266, 35, 301, 0.9, '2023-06-01'),
('2022-02-25', 245871, 297, 55, 352, 51, 12, 63, 0.9, '2023-06-01'),
('2022-02-25', 326932, 189, 147, 336, 118, 12, 130, 0.9, '2023-06-01'),
('2022-02-25', 326327, 74, 56, 130, 130, 51, 181, 0.9, '2023-06-01'),
('2022-02-25', -1, 214, 102, 316, 151, 29, 180, 0.9, '2023-06-01'),
('2022-02-26', 327193, 109, 72, 181, 93, 63, 156, 0.9, '2023-06-01'),
('2022-02-26', 245971, 260, 172, 432, 82, 72, 154, 0.9, '2023-06-01'),
('2022-02-26', 245871, 285, 172, 457, 127, 40, 167, 0.9, '2023-06-01'),
('2022-02-26', 326932, 292, 195, 487, 203, 190, 393, 0.9, '2023-06-01'),
('2022-02-26', 326327, 235, 97, 332, 52, 22, 74, 0.9, '2023-06-01'),
('2022-02-26', -1, 203, 123, 326, 218, 199, 417, 0.9, '2023-06-01'),
('2022-02-27', 327193, 80, 78, 158, 186, 52, 238, 0.9, '2023-06-01'),
('2022-02-27', 245971, 158, 24, 182, 242, 27, 269, 0.9, '2023-06-01'),
('2022-02-27', 245871, 66, 62, 128, 118, 16, 134, 0.9, '2023-06-01'),
('2022-02-27', 326932, 62, 14, 76, 186, 71, 257, 0.9, '2023-06-01'),
('2022-02-27', 326327, 121, 27, 148, 170, 105, 275, 0.9, '2023-06-01'),
('2022-02-27', -1, 266, 228, 494, 57, 41, 98, 0.9, '2023-06-01'),
('2022-02-28', 327193, 236, 97, 333, 220, 205, 425, 0.9, '2023-06-01'),
('2022-02-28', 245971, 98, 93, 191, 141, 46, 187, 0.9, '2023-06-01'),
('2022-02-28', 245871, 191, 89, 280, 99, 88, 187, 0.9, '2023-06-01'),
('2022-02-28', 326932, 270, 158, 428, 128, 52, 180, 0.9, '2023-06-01'),
('2022-02-28', 326327, 255, 224, 479, 145, 79, 224, 0.9, '2023-06-01'),
('2022-02-28', -1, 189, 57, 246, 149, 67, 216, 0.9, '2023-06-01'),
('2022-03-01', 327193, 209, 53, 262, 179, 50, 229, 0.9, '2023-06-01'),
('2022-03-01', 245971, 95, 85, 180, 53, 25, 78, 0.9, '2023-06-01'),
('2022-03-01', 245871, 232, 39, 271, 180, 40, 220, 0.9, '2023-06-01'),
('2022-03-01', 326932, 250, 238, 488, 158, 10, 168, 0.9, '2023-06-01'),
('2022-03-01', 326327, 93, 73, 166, 257, 252, 509, 0.9, '2023-06-01'),
('2022-03-01', -1, 282, 154, 436, 293, 264, 557, 0.9, '2023-06-01'),
('2022-03-02', 327193, 53, 18, 71, 154, 63, 217, 0.9, '2023-06-01'),
('2022-03-02', 245971, 270, 162, 432, 227, 158, 385, 0.9, '2023-06-01'),
('2022-03-02', 245871, 146, 132, 278, 194, 181, 375, 0.9, '2023-06-01'),
('2022-03-02', 326932, 81, 13, 94, 241, 132, 373, 0.9, '2023-06-01'),
('2022-03-02', 326327, 228, 186, 414, 282, 220, 502, 0.9, '2023-06-01'),
('2022-03-02', -1, 181, 18, 199, 201, 14, 215, 0.9, '2023-06-01'),
('2022-03-03', 327193, 134, 106, 240, 81, 69, 150, 0.9, '2023-06-01'),
('2022-03-03', 245971, 116, 86, 202, 272, 200, 472, 0.9, '2023-06-01'),
('2022-03-03', 245871, 90, 42, 132, 127, 85, 212, 0.9, '2023-06-01'),
('2022-03-03', 326932, 247, 189, 436, 79, 77, 156, 0.9, '2023-06-01'),
('2022-03-03', 326327, 104, 70, 174, 152, 81, 233, 0.9, '2023-06-01'),
('2022-03-03', -1, 88, 10, 98, 64, 21, 85, 0.9, '2023-06-01'),
('2022-03-04', 327193, 89, 54, 143, 119, 89, 208, 0.9, '2023-06-01'),
('2022-03-04', 245971, 64, 46, 110, 79, 46, 125, 0.9, '2023-06-01'),
('2022-03-04', 245871, 158, 99, 257, 156, 148, 304, 0.9, '2023-06-01'),
('2022-03-04', 326932, 73, 48, 121, 51, 30, 81, 0.9, '2023-06-01'),
('2022-03-04', 326327, 269, 42, 311, 74, 66, 140, 0.9, '2023-06-01'),
('2022-03-04', -1, 235, 138, 373, 54, 23, 77, 0.9, '2023-06-01'),
('2022-03-05', 327193, 65, 42, 107, 274, 161, 435, 0.9, '2023-06-01'),
('2022-03-05', 245971, 191, 122, 313, 202, 58, 260, 0.9, '2023-06-01'),
('2022-03-05', 245871, 146, 28, 174, 182, 89, 271, 0.9, '2023-06-01'),
('2022-03-05', 326932, 188, 41, 229, 173, 145, 318, 0.9, '2023-06-01'),
('2022-03-05', 326327, 150, 132, 282, 182, 33, 215, 0.9, '2023-06-01'),
('2022-03-05', -1, 248, 56, 304, 76, 72, 148, 0.9, '2023-06-01'),
('2022-03-06', 327193, 203, 108, 311, 216, 199, 415, 0.9, '2023-06-01'),
('2022-03-06', 245971, 92, 53, 145, 53, 13, 66, 0.9, '2023-06-01'),
('2022-03-06', 245871, 124, 92, 216, 195, 10, 205, 0.9, '2023-06-01'),
('2022-03-06', 326932, 110, 41, 151, 228, 166, 394, 0.9, '2023-06-01'),
('2022-03-06', 326327, 278, 204, 482, 83, 48, 131, 0.9, '2023-06-01'),
('2022-03-06', -1, 130, 31, 161, 145, 24, 169, 0.9, '2023-06-01'),
('2022-03-07', 327193, 65, 35, 100, 138, 45, 183, 0.9, '2023-06-01'),
('2022-03-07', 245971, 275, 126, 401, 149, 76, 225, 0.9, '2023-06-01'),
('2022-03-07', 245871, 263, 221, 484, 296, 29, 325, 0.9, '2023-06-01'),
('2022-03-07', 326932, 139, 85, 224, 52, 26, 78, 0.9, '2023-06-01'),
('2022-03-07', 326327, 247, 99, 346, 210, 16, 226, 0.9, '2023-06-01'),
('2022-03-07', -1, 83, 33, 116, 185, 149, 334, 0.9, '2023-06-01'),
('2022-03-08', 327193, 171, 159, 330, 250, 96, 346, 0.9, '2023-06-01'),
('2022-03-08', 245971, 193, 57, 250, 253, 236, 489, 0.9, '2023-06-01'),
('2022-03-08', 245871, 148, 54, 202, 235, 122, 357, 0.9, '2023-06-01'),
('2022-03-08', 326932, 276, 117, 393, 102, 101, 203, 0.9, '2023-06-01'),
('2022-03-08', 326327, 144, 96, 240, 189, 99, 288, 0.9, '2023-06-01'),
('2022-03-08', -1, 195, 117, 312, 91, 61, 152, 0.9, '2023-06-01'),
('2022-03-09', 327193, 76, 72, 148, 231, 91, 322, 0.9, '2023-06-01'),
('2022-03-09', 245971, 151, 36, 187, 109, 31, 140, 0.9, '2023-06-01'),
('2022-03-09', 245871, 87, 45, 132, 251, 200, 451, 0.9, '2023-06-01'),
('2022-03-09', 326932, 56, 15, 71, 61, 26, 87, 0.9, '2023-06-01'),
('2022-03-09', 326327, 151, 61, 212, 151, 65, 216, 0.9, '2023-06-01'),
('2022-03-09', -1, 297, 70, 367, 187, 88, 275, 0.9, '2023-06-01'),
('2022-03-10', 327193, 219, 187, 406, 247, 201, 448, 0.9, '2023-06-01'),
('2022-03-10', 245971, 169, 19, 188, 223, 156, 379, 0.9, '2023-06-01'),
('2022-03-10', 245871, 57, 33, 90, 90, 85, 175, 0.9, '2023-06-01'),
('2022-03-10', 326932, 210, 116, 326, 57, 40, 97, 0.9, '2023-06-01'),
('2022-03-10', 326327, 227, 130, 357, 167, 77, 244, 0.9, '2023-06-01'),
('2022-03-10', -1, 189, 12, 201, 223, 73, 296, 0.9, '2023-06-01'),
('2022-03-11', 327193, 286, 42, 328, 100, 56, 156, 0.9, '2023-06-01'),
('2022-03-11', 245971, 100, 15, 115, 76, 21, 97, 0.9, '2023-06-01'),
('2022-03-11', 245871, 235, 155, 390, 180, 28, 208, 0.9, '2023-06-01'),
('2022-03-11', 326932, 50, 21, 71, 156, 44, 200, 0.9, '2023-06-01'),
('2022-03-11', 326327, 195, 22, 217, 279, 179, 458, 0.9, '2023-06-01'),
('2022-03-11', -1, 59, 57, 116, 298, 246, 544, 0.9, '2023-06-01'),
('2022-03-12', 327193, 117, 86, 203, 140, 19, 159, 0.9, '2023-06-01'),
('2022-03-12', 245971, 181, 173, 354, 81, 28, 109, 0.9, '2023-06-01'),
('2022-03-12', 245871, 169, 98, 267, 218, 132, 350, 0.9, '2023-06-01'),
('2022-03-12', 326932, 85, 29, 114, 76, 33, 109, 0.9, '2023-06-01'),
('2022-03-12', 326327, 288, 208, 496, 283, 29, 312, 0.9, '2023-06-01'),
('2022-03-12', -1, 147, 133, 280, 134, 67, 201, 0.9, '2023-06-01'),
('2022-03-13', 327193, 278, 242, 520, 159, 149, 308, 0.9, '2023-06-01'),
('2022-03-13', 245971, 239, 86, 325, 82, 59, 141, 0.9, '2023-06-01'),
('2022-03-13', 245871, 59, 12, 71, 221, 150, 371, 0.9, '2023-06-01'),
('2022-03-13', 326932, 173, 129, 302, 139, 128, 267, 0.9, '2023-06-01'),
('2022-03-13', 326327, 54, 44, 98, 256, 22, 278, 0.9, '2023-06-01'),
('2022-03-13', -1, 218, 203, 421, 239, 53, 292, 0.9, '2023-06-01'),
('2022-03-14', 327193, 191, 91, 282, 223, 55, 278, 0.9, '2023-06-01'),
('2022-03-14', 245971, 252, 211, 463, 242, 66, 308, 0.9, '2023-06-01'),
('2022-03-14', 245871, 72, 62, 134, 161, 103, 264, 0.9, '2023-06-01'),
('2022-03-14', 326932, 200, 38, 238, 151, 86, 237, 0.9, '2023-06-01'),
('2022-03-14', 326327, 196, 85, 281, 142, 118, 260, 0.9, '2023-06-01'),
('2022-03-14', -1, 121, 96, 217, 235, 211, 446, 0.9, '2023-06-01'),
('2022-03-15', 327193, 64, 19, 83, 298, 74, 372, 0.9, '2023-06-01'),
('2022-03-15', 245971, 118, 96, 214, 65, 56, 121, 0.9, '2023-06-01'),
('2022-03-15', 245871, 189, 41, 230, 210, 166, 376, 0.9, '2023-06-01'),
('2022-03-15', 326932, 79, 62, 141, 88, 68, 156, 0.9, '2023-06-01'),
('2022-03-15', 326327, 165, 24, 189, 55, 55, 110, 0.9, '2023-06-01'),
('2022-03-15', -1, 104, 41, 145, 61, 41, 102, 0.9, '2023-06-01'),
('2022-03-16', 327193, 139, 102, 241, 258, 215, 473, 0.9, '2023-06-01'),
('2022-03-16', 245971, 288, 215, 503, 217, 88, 305, 0.9, '2023-06-01'),
('2022-03-16', 245871, 252, 158, 410, 254, 244, 498, 0.9, '2023-06-01'),
('2022-03-16', 326932, 226, 21, 247, 186, 174, 360, 0.9, '2023-06-01'),
('2022-03-16', 326327, 167, 151, 318, 120, 74, 194, 0.9, '2023-06-01'),
('2022-03-16', -1, 179, 168, 347, 149, 137, 286, 0.9, '2023-06-01'),
('2022-03-17', 327193, 267, 84, 351, 143, 69, 212, 0.9, '2023-06-01'),
('2022-03-17', 245971, 236, 94, 330, 167, 27, 194, 0.9, '2023-06-01'),
('2022-03-17', 245871, 286, 240, 526, 191, 59, 250, 0.9, '2023-06-01'),
('2022-03-17', 326932, 207, 180, 387, 113, 86, 199, 0.9, '2023-06-01'),
('2022-03-17', 326327, 275, 192, 467, 298, 76, 374, 0.9, '2023-06-01'),
('2022-03-17', -1, 125, 70, 195, 69, 32, 101, 0.9, '2023-06-01'),
('2022-03-18', 327193, 147, 74, 221, 119, 41, 160, 0.9, '2023-06-01'),
('2022-03-18', 245971, 138, 130, 268, 214, 30, 244, 0.9, '2023-06-01'),
('2022-03-18', 245871, 215, 158, 373, 264, 142, 406, 0.9, '2023-06-01'),
('2022-03-18', 326932, 236, 20, 256, 101, 70, 171, 0.9, '2023-06-01'),
('2022-03-18', 326327, 123, 46, 169, 284, 130, 414, 0.9, '2023-06-01'),
('2022-03-18', -1, 149, 87, 236, 284, 11, 295, 0.9, '2023-06-01'),
('2022-03-19', 327193, 284, 34, 318, 219, 202, 421, 0.9, '2023-06-01'),
('2022-03-19', 245971, 192, 75, 267, 168, 59, 227, 0.9, '2023-06-01'),
('2022-03-19', 245871, 104, 41, 145, 224, 89, 313, 0.9, '2023-06-01'),
('2022-03-19', 326932, 211, 123, 334, 298, 228, 526, 0.9, '2023-06-01'),
('2022-03-19', 326327, 134, 55, 189, 73, 17, 90, 0.9, '2023-06-01'),
('2022-03-19', -1, 95, 94, 189, 86, 11, 97, 0.9, '2023-06-01'),
('2022-03-20', 327193, 240, 159, 399, 205, 28, 233, 0.9, '2023-06-01'),
('2022-03-20', 245971, 112, 10, 122, 88, 15, 103, 0.9, '2023-06-01'),
('2022-03-20', 245871, 168, 161, 329, 300, 247, 547, 0.9, '2023-06-01'),
('2022-03-20', 326932, 272, 154, 426, 120, 90, 210, 0.9, '2023-06-01'),
('2022-03-20', 326327, 230, 151, 381, 71, 45, 116, 0.9, '2023-06-01'),
('2022-03-20', -1, 298, 67, 365, 219, 100, 319, 0.9, '2023-06-01'),
('2022-03-21', 327193, 165, 97, 262, 113, 23, 136, 0.9, '2023-06-01'),
('2022-03-21', 245971, 90, 78, 168, 57, 12, 69, 0.9, '2023-06-01'),
('2022-03-21', 245871, 291, 204, 495, 257, 50, 307, 0.9, '2023-06-01'),
('2022-03-21', 326932, 276, 263, 539, 66, 41, 107, 0.9, '2023-06-01'),
('2022-03-21', 326327, 244, 202, 446, 211, 183, 394, 0.9, '2023-06-01'),
('2022-03-21', -1, 214, 150, 364, 191, 190, 381, 0.9, '2023-06-01'),
('2022-03-22', 327193, 259, 211, 470, 275, 120, 395, 0.9, '2023-06-01'),
('2022-03-22', 245971, 169, 54, 223, 157, 94, 251, 0.9, '2023-06-01'),
('2022-03-22', 245871, 191, 22, 213, 135, 135, 270, 0.9, '2023-06-01'),
('2022-03-22', 326932, 122, 33, 155, 209, 21, 230, 0.9, '2023-06-01'),
('2022-03-22', 326327, 131, 24, 155, 135, 90, 225, 0.9, '2023-06-01'),
('2022-03-22', -1, 205, 46, 251, 121, 95, 216, 0.9, '2023-06-01'),
('2022-03-23', 327193, 89, 16, 105, 168, 37, 205, 0.9, '2023-06-01'),
('2022-03-23', 245971, 246, 107, 353, 55, 41, 96, 0.9, '2023-06-01'),
